Provider,Specific Plan Name,Estimated Monthly Price,Upfront Credit,Link
Momentum Energy,Warm Welcome,$154.02,$200,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/MOM548259MR.pdf

Red Energy,Living Energy Saver,$154.88,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/RED545845MR.pdf

Red Energy,Qantas Red Saver,$154.88,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/RED545872MR.pdf

Red Energy,Red BCNA Saver,$154.88,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/RED545898MR.pdf

Red Energy,Red EV Saver,$154.88,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/RED545896MR.pdf

Red Energy,Red Wildlife Saver,$154.88,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/RED545915MR.pdf

Pacific Blue,Blue Home,$154.96,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/PA1490751MR.pdf

Tango Energy,Home Select,$154.96,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TAN518915MR.pdf

OVO Energy,The Basic Free 3 Plan,$156.24,$150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OVO548818MR.pdf

Origin Energy,Go Variable,$158.53,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2543684MR.pdf

Origin Energy,Go Solar Variable,$162.26,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2543707MR.pdf

1st Energy,1st Saver 15,$164.42,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/1ST479405MR.pdf

Origin Energy,Everyday Rewards Variable,$165.96,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2543694MR.pdf

Amber,Standing Offer - Fixed Rate,$167.71,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AMB475482SR.pdf

AGL,Solar Savers,$169.7,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AGD540706MR.pdf

AGL,Solar Savers - New AGL Customers,$169.7,$150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AGD549425MR.pdf

EnergyAustralia,Rate Fix Plan,$171.61,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TRU527012MR.pdf

EnergyAustralia,Rate Fix Plan ($50 credit offer),$171.61,$50,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TRU537360MR.pdf

Powershop,Power Offset,$175.83,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/POD537949MR.pdf

Pacific Blue,Green100,$177.87,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/PA1531165MR.pdf

OVO Energy,The EV Plan,$180.08,$150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OVO548843MR.pdf

Sumo,Assure,$183.34,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/SPA495940MR.pdf

Momentum Energy,Bill Boss,$186.38,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/MOM500016MR.pdf

Momentum Energy,Suit Yourself,$186.38,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/MOM468671MR.pdf

ENGIE,Essentials,$186.47,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENG534054MR.pdf

ENGIE,Standing Offer,$186.47,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENG535200SR.pdf

1st Energy,Victorian Default Offer,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/1ST479320SR.pdf

Alinta Energy,Victorian Default Offer,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ALI477041SR.pdf

CovaU,Basics,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/COV479917SR.pdf

EnergyAustralia,Balance Plan,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TRU526915MR.pdf

EnergyAustralia,Basic Home,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TRU527062SR.pdf

EnergyAustralia,Solar Max,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TRU527253MR.pdf

Kogan Energy,Basic,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/PO2536250MR.pdf

Lumo Energy,Victorian Default Offer,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/LU2496910SR.pdf

Momentum Energy,Standing Offer,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/MOM468851SR.pdf

Nectr,Standing Offer,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/NEC467719SR.pdf

Origin Energy,Basic,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2516611MR.pdf

Origin Energy,Essentials Variable,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2520347MR.pdf

Origin Energy,Home Support,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2516635MR.pdf

Origin Energy,Solar Boost,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2542055MR.pdf

Origin Energy,Standing,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2516585SR.pdf

Pacific Blue,Victorian Default Offer,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/PA1479826SR.pdf

Powershop,Victorian Default Offer,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/POD536286SR.pdf

Red Energy,Victorian Default Offer,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/RED469263SR.pdf

Tango Energy,Victorian Default Offer,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TAN479806SR.pdf

AGL,Standing Offer,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AGD520358SR.pdf

Dodo,Victorian Default Offer,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/DOD472075SR.pdf

Energy Locals,Standing Offer,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENE467784SR.pdf

OVO Energy,Victorian Default Offer,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OVO467509SR.pdf

Sumo,Standing Offer,$186.51,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/SPA481720SR.pdf

EnergyAustralia,Solar Max ($50 credit offer),$186.51,$50,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TRU537401MR.pdf

OVO Energy,The Basic EV Plan,$189.1,$150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OVO548853MR.pdf

Alinta Energy,Carbon Balance,$194.53,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ALI486645MR.pdf

1st Energy,1st Solar Bonus,$203.9,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/1ST479445MR.pdf

Amber,Plan,$216.04,$0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AMB475630MR.pdf

