Provider,Specific Plan Name,General_Usage,Supply_Charge,Upfront Credit,Link
Red Energy,Red BCNA Saver,27.04,112.20,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/RED545898MR.pdf
Red Energy,Red EV Saver,27.04,112.20,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/RED545896MR.pdf
Red Energy,Red Wildlife Saver,27.04,112.20,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/RED545915MR.pdf
Pacific Blue,Blue Home,27.06,112.20,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/PA1490751MR.pdf
Tango Energy,Home Select,27.06,112.20,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TAN518915MR.pdf
Energy Locals,Local Member,27.50,73.00,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENE505277MR.pdf
Energy Locals,Online Member - Local Rewards,27.50,73.00,0,Error: No Link Found
Energy Locals,Online Member Summer Special,27.50,73.00,150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENE514710MR.pdf
OVO Energy,The Basic Free 3 Plan,27.60,108.57,150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OVO548818MR.pdf
1st Energy,1st Saver 15,27.96,129.80,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/1ST479405MR.pdf
Origin Energy,Go Variable,27.98,110.52,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2543684MR.pdf
Origin Energy,Go Solar Variable,28.64,113.11,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2543707MR.pdf
Dodo,Residential Market,28.80,63.71,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/DOD541880MR.pdf
Origin Energy,Everyday Rewards Variable,29.29,115.72,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2543694MR.pdf
AGL,Solar Savers,29.95,118.32,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AGD540706MR.pdf
AGL,Solar Savers - New AGL Customers,29.95,118.32,150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AGD549425MR.pdf
Powershop,Power Offset,30.13,135.51,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/POD537949MR.pdf
EnergyAustralia,Rate Fix Plan,30.29,119.62,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TRU527012MR.pdf
EnergyAustralia,Rate Fix Plan ($50 credit offer),30.29,119.62,50,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TRU537360MR.pdf
Pacific Blue,Green100,31.22,126.50,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/PA1531165MR.pdf
Sumo,Assure,32.45,126.50,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/SPA495940MR.pdf
Momentum Energy,Bill Boss,32.89,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/MOM500016MR.pdf
Momentum Energy,Suit Yourself,32.89,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/MOM468671MR.pdf
ENGIE,Essentials,32.91,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENG534054MR.pdf
ENGIE,Standing Offer,32.91,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENG535200SR.pdf
1st Energy,Victorian Default Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/1ST479320SR.pdf
Alinta Energy,Victorian Default Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ALI477041SR.pdf
CovaU,Basics,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/COV479917SR.pdf
EnergyAustralia,Balance Plan,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TRU526915MR.pdf
EnergyAustralia,Basic Home,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TRU527062SR.pdf
EnergyAustralia,Solar Max,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TRU527253MR.pdf
Kogan Energy,Basic,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/PO2536250MR.pdf
Lumo Energy,Victorian Default Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/LU2496910SR.pdf
Momentum Energy,Standing Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/MOM468851SR.pdf
Nectr,Standing Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/NEC467719SR.pdf
Origin Energy,Basic,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2516611MR.pdf
Origin Energy,Essentials Variable,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2520347MR.pdf
Origin Energy,Home Support,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2516635MR.pdf
Origin Energy,Solar Boost,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2542055MR.pdf
Origin Energy,Standing,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OR2516585SR.pdf
Pacific Blue,Victorian Default Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/PA1479826SR.pdf
Powershop,Victorian Default Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/POD536286SR.pdf
Red Energy,Victorian Default Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/RED469263SR.pdf
Tango Energy,Victorian Default Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TAN479806SR.pdf
AGL,Standing Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AGD520358SR.pdf
Dodo,Victorian Default Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/DOD472075SR.pdf
Energy Locals,Standing Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ENE467784SR.pdf
OVO Energy,Victorian Default Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OVO467509SR.pdf
Sumo,Standing Offer,32.92,130.02,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/SPA481720SR.pdf
EnergyAustralia,Solar Max ($50 credit offer),32.92,130.02,50,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/TRU537401MR.pdf
OVO Energy,The EV Plan,33.33,103.40,150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OVO548843MR.pdf
Amber,Standing Offer - Fixed Rate,33.45,61.78,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AMB475482SR.pdf
OVO Energy,The Basic EV Plan,35.00,108.57,150,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/OVO548853MR.pdf
Alinta Energy,Carbon Balance,35.27,122.22,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/ALI486645MR.pdf
1st Energy,1st Solar Bonus,36.85,129.80,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/1ST479445MR.pdf
Amber,Plan,44.33,61.78,0,https://wattever.s3.ap-southeast-2.amazonaws.com/efs/AMB475630MR.pdf
